ID,Name,Start time,Duration,Place,Address,Tickets link,Description 1,Hashtags,Prices lower,Prices upper,End time
61,НАТАЛКА ПОЛТАВКА,2024-02-02 18:00:00,120,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97392?utm_referrer=lviv.kontramarka.ua/uk/natalka-poltavka-70901.html&siteShowId=70901&siteEventId=192824,"Однойменна п'єса Івана Котляревського була написана трохи більш як 200 років тому. Відтоді ""Наталка Полтавка"" стала справжньою класикою української театральної сцени.",#Драма ,60,300,2024-02-02 20:00:00
62,РІЗДВЯНА НІЧ,2024-02-03 12:00:00,150,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97393?utm_referrer=lviv.kontramarka.ua/uk/rizdvana-nic-66632.html&siteShowId=66632&siteEventId=192808,"У Театрі Заньковецької відбудеться вистава “Різдвяна ніч” у Львові, за мотивами легендарного твору Миколи Гоголя. Гоголь вважається російським письменником, проте його творчість пронизана духом українського народу, силою етносу та містичними настроями. Хто щ  так точно та дотепно міг зобразити українські характери - Пацюка, Солоху, Вакулу? Гоголівський хутір поблизу Диканьки, ніби місце  нашого дитинства, де ми знаємо усіх. Красуню Оксану, веселих кумів та Чуба і навіть самого Чорта, який викрав місяць.",,80,400,2024-02-03 14:30:00
63,РІЗДВЯНА НІЧ,2024-02-18 12:00:00,150,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97409?utm_referrer=lviv.kontramarka.ua/uk/rizdvana-nic-66632.html&siteShowId=66632&siteEventId=192810,"У Театрі Заньковецької відбудеться вистава “Різдвяна ніч” у Львові, за мотивами легендарного твору Миколи Гоголя. Гоголь вважається російським письменником, проте його творчість пронизана духом українського народу, силою етносу та містичними настроями. Хто щ  так точно та дотепно міг зобразити українські характери - Пацюка, Солоху, Вакулу? Гоголівський хутір поблизу Диканьки, ніби місце  нашого дитинства, де ми знаємо усіх. Красуню Оксану, веселих кумів та Чуба і навіть самого Чорта, який викрав місяць.",,80,400,2024-02-18 14:30:00
64,ПАЛИВО,2024-02-03 17:00:00,70,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97426?utm_referrer=lviv.kontramarka.ua/uk/palivo-86267.html&siteShowId=86267&siteEventId=192805,"Це не театральна зала. І актор тут не буде вас переконувати у правді своїх почуттів – пристрасті, ревнощах, коханні. Він – лише людина поряд з вами. Наш герой – професор, філософ, літератор. Однак заціпеніння – від невизначеності, балансування над прірвою – повертає його обличчям до базових потреб людини. Поруч з ним опиняються його асистент та студентка. І перед ними постає питання не тільки як вижити в холодні тижні зими в облозі, але й заради чого. Людина та її потреба бути щасливою – за будь-яких обставин, умов, завжди. Про це ми подумаємо разом з талановитим актором-професором Андрієм Козаком, вслухаючись у вишукані тексти французької сучасниці Амелі Нотомб.",,290,290,2024-02-03 18:10:00
65,ПАЛИВО,2024-02-14 18:00:00,70,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97657?utm_referrer=lviv.kontramarka.ua/uk/palivo-86267.html&siteShowId=86267&siteEventId=192806,"Це не театральна зала. І актор тут не буде вас переконувати у правді своїх почуттів – пристрасті, ревнощах, коханні. Він – лише людина поряд з вами. Наш герой – професор, філософ, літератор. Однак заціпеніння – від невизначеності, балансування над прірвою – повертає його обличчям до базових потреб людини. Поруч з ним опиняються його асистент та студентка. І перед ними постає питання не тільки як вижити в холодні тижні зими в облозі, але й заради чого. Людина та її потреба бути щасливою – за будь-яких обставин, умов, завжди. Про це ми подумаємо разом з талановитим актором-професором Андрієм Козаком, вслухаючись у вишукані тексти французької сучасниці Амелі Нотомб.",,290,290,2024-02-14 19:10:00
66,ПОПЕЛЮШКА,2024-02-04 12:00:00,90,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97395?utm_referrer=lviv.kontramarka.ua/uk/popeluska-66585.html&siteShowId=66585&siteEventId=192819,"У Театрі Заньковецької відбудеться сучасна дитяча вистава “Попелюшка” у Львові, режисерки та композиторки Олесі Галканової-Лань. Це  не зовсім звична історія про дівчинку Попелюшку. Тут вона не покірна добра сирітка, яка отримує винагороду за усі свої поневіряння, а дівчина, що готова боротися за щастя усіма своїми силами. Вона - героїня часу, яка не підкорюється долі і не чекає милості. Навпаки, готова до викликів, а дещо гротескний образ Попелюшки тільки підсилює емоції і на сцені, і у глядацькій залі.",#Казка ,50,200,2024-02-04 13:30:00
67,Полліанна,2024-02-07 17:00:00,123,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97399?utm_referrer=lviv.kontramarka.ua/uk/polianna-45092.html&siteShowId=45092&siteEventId=192815,"Культова казка, яка прибула до нас з Англії, була написана популярним автором Елеонорою Портер більше сотні років тому. Але при цьому дана казка все ще залишається актуальною, адже в житті інколи так не вистачає безпосередньої дитячої радості, посмішок і щастя. П'єса Полліанна була поставлена ​​в багатьох театрах світу, а також адаптована у вигляді кіно. Поява на сцені цієї маленької і забавної дівчинки завжди дарує усмішку і радість, вчить по-іншому сприймати це життя, з нової, раніше невідомої сторони. Насолодитися цим спектаклем можна купивши квиток всього за 60-250 гривень у міській касі, або ж на сайті нашої міської афіші.",,60,250,2024-02-07 19:03:00
68,ЧОЛОВІК МОЄЇ ДРУЖИНИ,2024-02-07 18:00:00,90,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97428?utm_referrer=lviv.kontramarka.ua/uk/colovik-moei-druzini-66636.html&siteShowId=66636&siteEventId=192823,"У Театрі Заньковецької відбудеться вистава “Чоловік моєї дружини” у Львові, сучасного хорватського драматурга Міро Гаврана. Починається все з того, що  герой чекає свою кохану дружину, а приходить якийсь незнайомець, який стверджує, щ о нібито  він і є чоловіком вашої жінки. Заплутано. Але небезнадійно. Справа в тому. що Драгіца не тільки дружина одразу двох чоловіків. Вона провідниця у потягу і живе одразу на два міста. ЇЇ життя  - суцільний вихор романтики, купа зустрічей, розлук, емоцій і одразу двійко люблячих мужчин, чиїх принад якраз вистачає на одного, але справді ідеального супутника життя.",#Комедія ,290,290,2024-02-07 19:30:00
69,Сватання на Гончарівці,2024-02-08 18:00:00,160,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97400?utm_referrer=lviv.kontramarka.ua/uk/svatanna-na-goncarivci-42894.html&siteShowId=42894&siteEventId=192827,"Сватання на Гончарівці - п'єса, яка була написана відомим українським автором Григорій Квітка-Основ'яненко багато років тому. Але навіть зараз завдяки своєму неповторному колориту, веселим діалогам, що сповнені найрізноманітнішими людськими перипетіями, вона залишається популярною. Адже любовні інтриги, весілля і все, що з ними пов'язано - завжди було і буде актуально, особливо, якщо добре приправлене дрібкою добірного гумору. Купити квитки можна від 60 до 300 гривень за місце на сайті Контрамарка, або в міських касах Львова.",#Комедія ,80,400,2024-02-08 20:40:00
70,Сватання на Гончарівці,2024-02-22 18:00:00,160,Національний драматичний театр імені Марії Заньковецької,"м. Львів, вул. Лесі Українки, 1",https://widget.kontramarka.ua/uk/widget510site17/widget/event/97413?utm_referrer=lviv.kontramarka.ua/uk/svatanna-na-goncarivci-42894.html&siteShowId=42894&siteEventId=192828,"Сватання на Гончарівці - п'єса, яка була написана відомим українським автором Григорій Квітка-Основ'яненко багато років тому. Але навіть зараз завдяки своєму неповторному колориту, веселим діалогам, що сповнені найрізноманітнішими людськими перипетіями, вона залишається популярною. Адже любовні інтриги, весілля і все, що з ними пов'язано - завжди було і буде актуально, особливо, якщо добре приправлене дрібкою добірного гумору. Купити квитки можна від 60 до 300 гривень за місце на сайті Контрамарка, або в міських касах Львова.",#Комедія ,80,400,2024-02-22 20:40:00
